pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-04-13,87.1,2.15,5.57,"Judge, Aaron",592450,579328,fielders_choice,hit_into_play,,,,,7,"Aaron Judge reaches on a fielder's choice. Austin Wells to 2nd. Austin Wells advances to 2nd, on a fielding error by third baseman Yoán Moncada.",R,R,L,NYY,LAA,X,5.0,ground_ball,3,2,2026,-0.78,0.13,-0.7208326340970662,2.080734457016957,,,669224.0,1,2,Bot,105.7,164.86,,,,,-5.234085444176667,-126.81239555316154,-2.313037424609834,-7.453178495781629,24.95805709140378,-30.54038611269575,3.522785433,1.777854331,22.0,103.9,-5.0,88.3,2352.0,6.9,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.58,0.384,0.364,0.9,1.0,0.0,0.0,2.0,18,6,Slider,4,0,4,0,0,4,4,0,Standard,Standard,196.0,0.012,0.359,76.2,8.2,0.435,-0.359,103.9,4,4,0.88,0.88,35,34,35,34,2,1,,,,,2.86,-0.78,0.78,,7.248315679539507,-3.687865814437446,39.397414337485486,36.73563084501278,30.115996662187435
FF,2026-04-13,93.1,2.03,5.75,"Judge, Aaron",592450,579328,,ball,,,,,12,Ball,R,R,L,NYY,LAA,B,,,2,2,2026,0.52,1.42,1.4385274904810823,4.525685143290964,,,669224.0,1,2,Bot,,,,,,,-2.672180308922218,-135.53673814684382,-0.3652340381804009,6.967132272815067,31.137266555345875,-14.878940526795672,3.522785433,1.777854331,,,,93.8,2166.0,6.8,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.68,,,,,,,,18,5,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,152.0,0.004,0.098,,,,-0.098,,4,4,0.876,0.876,35,34,35,34,2,1,,,,,1.22,0.52,-0.52,,,,,,
CH,2026-04-13,84.8,1.72,5.7,"Judge, Aaron",592450,579328,,swinging_strike,,,,,13,Swinging Strike,R,R,L,NYY,LAA,S,,,2,1,2026,0.68,0.46,-0.2152794260843804,1.0809082108161752,,,669224.0,1,2,Bot,,,,,,,-5.967703487937817,-123.34604143261808,-5.241473952091424,8.070579729505768,23.79798355060233,-26.661721059720904,3.522785433,1.777854331,,,,86.6,1259.0,7.4,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.1,,,,,,,,18,4,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,143.0,-0.003,-0.075,76.7,9.4,,0.075,,4,4,0.879,0.879,35,34,35,34,2,1,,,,,2.71,0.68,-0.68,,29.749910353444815,-22.17159012829972,43.68315536379647,42.30950212874468,44.768673734340496
FF,2026-04-13,95.5,2.0,5.63,"Judge, Aaron",592450,579328,,blocked_ball,,,,,13,Ball In Dirt,R,R,L,NYY,LAA,B,,,1,1,2026,0.71,1.54,-0.473539522316269,0.5490122269167301,,,669224.0,1,2,Bot,,,,,,,-8.174891159247668,-138.4930550996744,-11.128060241399822,10.987020536641072,31.25332742905976,-9.960948887414936,3.522785433,1.777854331,,,,96.7,2352.0,7.2,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.34,,,,,,,,18,3,4-Seam Fastball,4,0,4,0,0,4,4,0,Standard,Standard,143.0,0.002,0.063,,,,-0.063,,4,4,0.877,0.877,35,34,35,34,2,1,,,,,0.98,0.71,-0.71,,,,,,
FC,2026-04-13,87.8,2.12,5.68,"Judge, Aaron",592450,579328,,ball,,,,,14,Ball,R,R,L,NYY,LAA,B,,,0,1,2026,-0.59,0.47,1.0436464402898298,2.434494827422024,,,669224.0,1,2,Bot,,,,,,,-1.3312363933582276,-127.96502674073427,-2.5933684632592624,-6.275352493364347,24.60611046434711,-26.72016114330528,3.522785433,1.777854331,,,,89.1,2362.0,6.9,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.65,,,,,,,,18,2,Cutter,4,0,4,0,0,4,4,0,Standard,Standard,185.0,0.001,0.019,,,,-0.019,,4,4,0.876,0.876,35,34,35,34,2,1,,,,,2.46,-0.59,0.59,,,,,,
CH,2026-04-13,84.5,1.59,5.84,"Judge, Aaron",592450,579328,,swinging_strike,,,,,9,Swinging Strike,R,R,L,NYY,LAA,S,,,0,0,2026,0.75,0.53,0.3066128812696422,1.9731023161263173,,,669224.0,1,2,Bot,,,,,,,-4.571100991293411,-123.06799368447794,-3.6074553688255153,8.550871106493215,23.300887760415364,-26.256460508455948,3.522785433,1.777854331,,,,,1461.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.07,,,,,,,,18,1,Changeup,4,0,4,0,0,4,4,0,Standard,Standard,150.0,-0.002,-0.04,77.6,8.9,,0.04,,4,4,0.878,0.878,35,34,35,34,2,1,,,,,2.64,0.75,-0.75,,25.770785198163136,-24.458654986979116,35.728903869418765,47.869468548787296,44.284959168106205
CH,2026-04-13,82.7,-2.21,5.98,"Judge, Aaron",592450,641312,home_run,hit_into_play,,,,,4,Aaron Judge homers (6) on a fly ball to left field.,R,R,R,NYY,LAA,X,,fly_ball,1,2,2026,-1.29,0.29,-0.3396365517985031,2.4127849440876528,,,,1,6,Bot,8.83,86.61,,,,,6.807838427878351,-120.25718243517372,-1.9416702243254151,-13.890521841864206,24.54289221945549,-29.207152027944307,3.522785433,1.777854331,398.0,111.4,27.0,,1332.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.98,0.997,2.033,2.0,1.0,0.0,3.0,6.0,59,4,Changeup,7,7,7,7,7,8,8,7,Standard,Standard,220.0,0.185,1.657,78.2,8.7,3.985,-1.657,111.4,0,0,0.534,0.534,31,34,32,34,2,3,,,,,3.06,1.29,1.29,,20.004104714128516,-14.514793741483542,37.479193142752514,39.95438513671143,38.29180393241971
FF,2026-04-13,93.2,-1.76,6.04,"Judge, Aaron",592450,641312,,swinging_strike,,,,,14,Swinging Strike,R,R,R,NYY,LAA,S,,,1,1,2026,-0.05,1.22,0.9132771213431126,2.257940905642726,,,,1,6,Bot,,,,,,,6.974733600033703,-135.5320227330532,-6.542693409696358,-2.0883652505380548,28.50427659569216,-15.868748693641246,3.522785433,1.777854331,,,,,2508.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.58,,,,,,,,59,3,4-Seam Fastball,7,7,7,7,7,7,7,7,Standard,Standard,194.0,-0.007,-0.064,74.1,7.9,,0.064,88.0,0,0,0.541,0.541,31,34,32,34,2,3,,,,,1.4,0.05,0.05,,-0.8391068075023799,11.809105730930195,42.17606105565744,55.15135892528488,10.5759005007014
SI,2026-04-13,93.2,-1.74,6.32,"Judge, Aaron",592450,641312,,ball,,,,,11,Ball,R,R,R,NYY,LAA,B,,,0,1,2026,-1.17,1.19,-1.626497808375122,4.415433815141984,,,,1,6,Bot,,,,,,,2.91521624954746,-135.74180525935822,-1.6116103037436584,-15.024978868920115,32.09673612300437,-17.34992422773194,3.522785433,1.777854331,,,,93.7,2343.0,6.7,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.8,,,,,,,,59,2,Sinker,7,7,7,7,7,7,7,7,Standard,Standard,193.0,0.003,0.029,,,,-0.029,,0,0,0.538,0.538,31,34,32,34,2,3,,,,,1.44,1.17,1.17,,,,,,
CH,2026-04-13,85.1,-2.31,5.99,"Judge, Aaron",592450,641312,,called_strike,,,,,9,Called Strike,R,R,R,NYY,LAA,S,,,0,0,2026,-0.65,0.22,0.5119838310664382,1.9656406624070843,,,,1,6,Bot,,,,,,,7.891968722722301,-123.60223198216993,-3.296232133016188,-8.27476059668041,26.124151440597952,-29.417403313190626,3.522785433,1.777854331,,,,85.2,1245.0,6.6,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.91,,,,,,,,59,1,Changeup,7,7,7,7,7,7,7,7,Standard,Standard,229.0,-0.004,-0.039,,,,0.039,,0,0,0.542,0.542,31,34,32,34,2,3,,,,,2.95,0.65,0.65,,,,,,
CH,2026-04-13,84.5,1.71,5.88,"Judge, Aaron",592450,579328,home_run,hit_into_play,,,,,5,Aaron Judge homers (5) on a fly ball to left center field. Paul Goldschmidt scores.,R,R,L,NYY,LAA,X,,fly_ball,2,0,2026,0.76,0.41,-0.2604573736634882,2.8939058687440173,502671.0,,,0,1,Bot,46.84,31.47,,,,,-6.163802953456993,-122.91667360332704,-1.2465519269149037,8.906566301040327,23.21765361626412,-27.991973143535727,3.522785433,1.777854331,456.0,116.2,26.0,,1296.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.49,0.999,2.04,2.0,1.0,0.0,3.0,6.0,5,3,Changeup,0,0,0,0,0,2,2,0,Standard,Standard,141.0,0.091,0.842,81.1,8.0,3.997,-0.842,116.2,0,0,0.641,0.641,35,34,35,34,1,0,,,,,2.77,0.76,-0.76,,16.40359359945562,-6.11345794953602,36.53447036102126,39.96836315294581,34.25673981555882
CU,2026-04-13,78.3,1.63,5.9,"Judge, Aaron",592450,579328,,ball,,,,,13,Ball,R,R,L,NYY,LAA,B,,,1,0,2026,-0.18,-0.55,-0.8696040249012891,1.513852367961971,502671.0,,,0,1,Bot,,,,,,,-5.026802290754137,-113.91435350079264,-1.3335933062932486,-0.6505676570663631,20.95994115386185,-36.89792018502795,3.522785433,1.777854331,,,,,2334.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.63,,,,,,,,5,2,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,327.0,0.007,0.039,,,,-0.039,,0,0,0.634,0.634,35,34,35,34,1,0,,,,,4.27,-0.18,0.18,,,,,,
CU,2026-04-13,76.1,1.66,6.06,"Judge, Aaron",592450,579328,,ball,,,,,12,Ball,R,R,L,NYY,LAA,B,,,0,0,2026,-0.19,-0.35,2.253579715306957,6.41136189532154,,502671.0,,0,1,Bot,,,,,,,1.580673847703081,-110.51171191412806,8.595479597057945,-1.816017612291798,18.936737458669025,-36.72809630855031,3.522785433,1.777854331,,,,,2278.0,,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.87,,,,,,,,5,1,Curveball,0,0,0,0,0,0,0,0,Standard,Standard,312.0,0.027,0.032,,,,-0.032,,0,0,0.607,0.607,35,34,35,34,1,0,,,,,4.29,-0.19,0.19,,,,,,
SL,2026-04-13,91.4,-2.15,6.1,"Judge, Aaron",592450,641312,strikeout,swinging_strike,,,,,3,Aaron Judge strikes out swinging.,R,R,R,NYY,LAA,S,2.0,,1,2,2026,0.48,0.37,0.5508090283347373,3.1154105963412952,,502671.0,,1,4,Bot,,,,,,,5.704775208846059,-133.0745485957781,-2.2913081938963105,4.510674456406253,27.393014407252167,-27.440731908963244,3.522785433,1.777854331,,,,92.1,2838.0,6.6,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.93,,0.0,0.0,1.0,0.0,0.0,,40,4,Slider,4,4,4,4,4,4,4,4,Standard,Standard,152.0,-0.03,-0.201,75.4,7.4,,0.201,,0,0,0.572,0.572,31,34,32,34,1,2,,,,,2.34,-0.48,-0.48,,2.3040252370030263,17.73879713242268,33.16661581064141,49.61929359074178,12.244682789275824
FF,2026-04-13,93.5,-2.23,6.02,"Judge, Aaron",592450,641312,,ball,,,,,11,Ball,R,R,R,NYY,LAA,B,,,0,2,2026,-0.2,1.23,-2.1099374495541854,6.466610932571879,,,502671.0,1,4,Bot,,,,,,,0.7558777938654835,-136.1003545874683,4.249141564367007,-2.589617487865445,30.276689450975677,-18.12196931280148,3.522785433,1.777854331,,,,93.7,2633.0,6.4,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.07,,,,,,,,40,3,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,194.0,0.023,0.01,,,,-0.01,,0,0,0.549,0.549,31,34,32,34,1,2,,,,,1.38,0.2,0.2,,,,,,
SI,2026-04-13,93.7,-1.63,6.4,"Judge, Aaron",592450,641312,,called_strike,,,,,5,Called Strike,R,R,R,NYY,LAA,S,,,0,1,2026,-1.19,1.06,-0.088677350733048,2.4434309594907155,,,502671.0,1,4,Bot,,,,,,,6.623857689872205,-136.1852506796066,-6.576572369171741,-16.261420306655385,32.808637227724056,-17.73853353718443,3.522785433,1.777854331,,,,93.5,2403.0,6.4,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.06,,,,,,,,40,2,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,193.0,-0.009,-0.047,,,,0.047,,0,0,0.558,0.558,31,34,32,34,1,2,,,,,1.57,1.19,1.19,,,,,,
SI,2026-04-13,94.6,-1.93,6.33,"Judge, Aaron",592450,641312,,called_strike,,,,,7,Called Strike,R,R,R,NYY,LAA,S,,,0,0,2026,-1.0,1.06,-0.4951240329142892,2.142803971052082,,,502671.0,1,4,Bot,,,,,,,5.9922745948200085,-137.47481789534416,-7.403494229491256,-14.034164833046878,32.232806610145694,-17.27911516767458,3.522785433,1.777854331,,,,94.9,2482.0,6.7,823563,681351,694384,624428,660162,687263,666139,545361,666176,53.84,,,,,,,,40,1,Sinker,4,4,4,4,4,4,4,4,Standard,Standard,199.0,-0.005,-0.04,,,,0.04,,0,0,0.563,0.563,31,34,32,34,1,2,,,,,1.51,1.0,1.0,,,,,,
KC,2026-04-13,84.2,1.99,6.02,"Judge, Aaron",592450,519141,field_out,hit_into_play,,,,,4,Aaron Judge lines out sharply to center fielder Mike Trout.,R,R,L,NYY,LAA,X,8.0,line_drive,0,0,2026,-0.32,-0.7,-0.4981474039593858,2.6546066842650453,,,,0,8,Bot,123.82,55.02,,,,,-5.0617977522608495,-122.55603717915228,0.2312702150077989,-2.1529790241993285,25.396730505367955,-39.49758023794385,3.522785433,1.777854331,357.0,107.1,20.0,84.0,2208.0,6.3,823563,681351,694384,624428,660162,687263,666139,545361,666176,54.23,0.737,1.074,0.0,1.0,0.0,0.0,6.0,78,1,Knuckle Curve,8,10,8,10,10,8,8,10,Standard,Standard,332.0,-0.044,-0.259,74.9,7.8,1.831,0.259,107.1,-2,-2,0.167,0.167,37,34,38,34,1,4,,,,,3.93,-0.32,0.32,,9.968324584422,-4.842996886372903,37.31202113190571,38.24686931433548,25.758435967035183
FC,2026-04-12,90.4,-1.98,5.9,"Judge, Aaron",592450,656876,strikeout,called_strike,,,,,9,Aaron Judge called out on strikes.,R,R,R,TB,NYY,S,2.0,,3,2,2026,0.35,0.11,0.2795306330246175,1.6679201349939374,,,,1,4,Top,,,,,,,4.810397460341923,-131.48786575825042,-4.579357192543696,3.007128979659889,29.39815503798063,-30.150834318930617,3.522785433,1.777854331,,,,,2773.0,,822998,676439,666018,680700,691406,670764,802415,656775,641584,53.85,,0.0,0.0,1.0,0.0,0.0,,27,8,Cutter,3,0,0,3,0,3,0,3,Infield shade,Standard,107.0,0.019,-0.332,,,,0.332,,3,-3,0.832,0.168,30,34,31,34,2,1,11.0,1.0,,,2.7,-0.35,-0.35,,,,,,
