pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-04-13,89.7,-2.68,5.65,"Raleigh, Cal",663728,681347,field_out,hit_into_play,,,,,5,Cal Raleigh flies out to left fielder Yordan Alvarez.,R,L,R,SEA,HOU,X,7.0,fly_ball,0,1,2026,0.29,0.6,-0.1378124607451177,2.603923706143285,,,680977.0,1,6,Bot,87.82,105.44,,,,,5.579841868744773,-130.5445994591023,-2.672844384064226,2.168605706736851,26.10252390368929,-24.924627862303115,3.282316273,1.656496063,253.0,81.3,44.0,89.9,2452,6.3,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.23,0.017,0.023,0.0,1.0,0.0,0.0,3.0,51,2,Slider,6,2,6,2,2,6,6,2,Infield shade,Standard,191,-0.004,-0.216,82.8,7.8,0.032,0.216,88.0,4,4,0.95,0.95,26,29,27,30,4,3,,,,,2.22,-0.29,0.29,,17.018736569233642,4.887902630400897,36.87240954150548,34.24630244770623,26.279125729095192
CU,2026-04-13,79.2,-2.33,5.9,"Raleigh, Cal",663728,681347,,swinging_strike,,,,,14,Swinging Strike,R,L,R,SEA,HOU,S,,,0,0,2026,0.81,-0.76,0.1618926560964287,1.289306948420306,,,680977.0,1,6,Bot,,,,,,,3.802462804623668,-115.24045838138164,-1.4928912015224116,6.38035720493366,24.046574444916537,-38.81524824172301,3.282316273,1.656496063,,,,78.6,2854,6.1,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.37,,,,,,,,51,1,Curveball,6,2,6,2,2,6,6,2,Infield shade,Standard,42,-0.001,-0.04,72.5,9.5,,0.04,,4,4,0.951,0.951,26,29,27,30,4,3,,,,,4.43,-0.81,0.81,,37.29015811103845,-48.20547550203782,37.64082965614286,34.6949632132042,59.76289526132241
CH,2026-04-13,89.0,-2.5,5.75,"Raleigh, Cal",663728,681347,field_out,hit_into_play,,,,,13,Cal Raleigh flies out to right fielder Cam Smith.,R,L,R,SEA,HOU,X,9.0,fly_ball,2,2,2026,-1.44,0.65,-0.4166277712077164,1.3220017165493667,,680977.0,,2,4,Bot,199.54,104.09,,,,,8.104029318660215,-129.20170004344297,-5.92704633518282,-17.79224461201237,27.265818468965303,-23.82654303885457,3.282316273,1.656496063,296.0,88.5,41.0,89.0,1540,6.4,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.07,0.003,0.003,0.0,1.0,0.0,0.0,3.0,34,6,Changeup,5,0,5,0,0,5,5,0,Infield shade,Standard,235,-0.007,-0.22,68.3,8.9,0.006,0.22,88.5,5,5,0.943,0.943,26,29,27,30,3,2,,,,,2.25,1.44,-1.44,,22.19930570138093,-15.775547174053845,43.82246126188275,37.97166437248079,42.52931440559024
SL,2026-04-13,89.2,-2.4,5.8,"Raleigh, Cal",663728,681347,,ball,,,,,14,Ball,R,L,R,SEA,HOU,B,,,1,2,2026,0.63,0.46,1.7893968023149789,1.653950198677359,,680977.0,,2,4,Bot,,,,,,,8.815684859407712,-129.54351867619607,-4.886455331397776,5.2564187694178885,27.079913796921645,-26.19413100866005,3.282316273,1.656496063,,,,89.2,2535,6.4,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.11,,,,,,,,34,5,Slider,5,0,5,0,0,5,5,0,Infield shade,Standard,159,0.001,0.012,,,,-0.012,,5,5,0.942,0.942,26,29,27,30,3,2,,,,,2.42,-0.63,0.63,,,,,,
CH,2026-04-13,87.0,-2.68,5.72,"Raleigh, Cal",663728,681347,,foul,,,,,7,Foul,R,L,R,SEA,HOU,S,,,1,2,2026,-1.33,0.63,-0.4112244226518702,2.0062382496056013,,680977.0,,2,4,Bot,,,,,,,8.145990630960025,-126.49186291504556,-3.811357719033401,-15.908923740412083,25.981695331260852,-24.83870087136561,3.282316273,1.656496063,220.0,74.0,27.0,87.0,1378,6.4,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.13,,,,,,,,34,4,Changeup,5,0,5,0,0,5,5,0,Infield shade,Standard,244,0.0,0.0,61.2,9.2,,0.0,88.0,5,5,0.942,0.942,26,29,27,30,3,2,,,,,2.39,1.33,-1.33,,26.26582233612934,-33.29412005911875,39.61543180094141,37.58176939148822,46.34859144281928
FF,2026-04-13,95.5,-2.67,5.77,"Raleigh, Cal",663728,681347,,called_strike,,,,,3,Called Strike,R,L,R,SEA,HOU,S,,,1,1,2026,-0.7,1.39,0.553063612584011,3.137674587960547,,680977.0,,2,4,Bot,,,,,,,9.986230836952858,-138.64955732384115,-4.212800455059059,-11.47204345336316,35.584678482828835,-13.529764598074928,3.282316273,1.656496063,,,,94.9,2144,6.4,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.07,,,,,,,,34,3,4-Seam Fastball,5,0,5,0,0,5,5,0,Infield shade,Standard,220,-0.002,-0.056,,,,0.056,,5,5,0.944,0.944,26,29,27,30,3,2,,,,,1.15,0.7,-0.7,,,,,,
CH,2026-04-13,86.9,-2.65,5.83,"Raleigh, Cal",663728,681347,,foul,,,,,4,Foul,R,L,R,SEA,HOU,S,,,1,0,2026,-1.43,0.51,-0.8046070409449746,2.703561433166996,,680977.0,,2,4,Bot,,,,,,,7.322646594589914,-126.28444200996248,-2.109257157134086,-16.799034044089716,27.53513385419935,-26.514337470381424,3.282316273,1.656496063,,,,86.5,1609,6.3,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.21,,,,,,,,34,2,Changeup,5,0,5,0,0,5,5,0,Infield shade,Standard,237,0.0,-0.044,77.7,7.9,,0.044,,5,5,0.944,0.944,26,29,27,30,3,2,,,,,2.53,1.43,-1.43,,17.969415268205793,-3.644857800796804,34.333299710862136,41.89796648744488,32.963497636829054
CU,2026-04-13,80.7,-2.51,5.9,"Raleigh, Cal",663728,681347,,blocked_ball,,,,,14,Ball In Dirt,R,L,R,SEA,HOU,B,,,0,0,2026,0.84,-1.22,0.9110938378493392,0.5293438379855147,,680977.0,,2,4,Bot,,,,,,,5.844006318267279,-117.30789869704594,-2.504500617970802,6.382356093307154,26.157029356842013,-43.00924762993905,3.282316273,1.656496063,,,,79.9,2893,6.2,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.33,,,,,,,,34,1,Curveball,5,0,5,0,0,5,5,0,Infield shade,Standard,36,0.0,0.019,,,,-0.019,,5,5,0.944,0.944,26,29,27,30,3,2,,,,,4.78,-0.84,0.84,,,,,,
CH,2026-04-13,89.2,-2.69,5.87,"Raleigh, Cal",663728,681347,single,hit_into_play,,,,,13,Cal Raleigh singles on a soft ground ball to first baseman Christian Walker.,R,L,R,SEA,HOU,X,3.0,ground_ball,2,2,2026,-1.4,0.34,-1.5922873496797674,1.6125566798844142,,,,0,3,Bot,139.74,184.97,,,,,5.644920395243951,-129.70277253021425,-4.899738259417277,-17.015727097045477,26.933074409728583,-27.560751674995817,3.282316273,1.656496063,1.0,58.6,-57.0,89.1,1414,6.2,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.28,0.227,0.204,0.9,1.0,1.0,0.0,1.0,21,7,Changeup,3,0,3,0,0,3,3,0,Infield shade,Standard,239,0.02,0.465,63.5,8.6,0.227,-0.465,88.0,3,3,0.837,0.837,26,29,27,30,2,1,,,,,2.53,1.4,-1.4,,17.026603333857175,-7.844198506472306,30.07699311619282,51.08711110956879,33.821188735491106
FF,2026-04-13,95.8,-2.7,5.83,"Raleigh, Cal",663728,681347,,foul,,,,,13,Foul,R,L,R,SEA,HOU,S,,,2,2,2026,-0.96,1.45,-1.100263032877164,2.298164166317041,,,,0,3,Bot,,,,,,,6.373453660206572,-139.16364819138832,-6.785978671189399,-13.980259940594564,33.06803237630972,-11.92841150444903,3.282316273,1.656496063,259.0,77.4,46.0,95.4,2395,6.3,823153,673237,572233,514888,621043,669397,670541,666211,701358,54.23,,,,,,,,21,6,4-Seam Fastball,3,0,3,0,0,3,3,0,Infield shade,Standard,220,0.0,0.0,68.7,7.8,,0.0,88.0,3,3,0.837,0.837,26,29,27,30,2,1,,,,,1.05,0.96,-0.96,,10.386802928503725,10.11959071324956,28.96864259100302,45.80342980787759,24.499234411327183
