pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2026-04-13,88.8,-1.98,5.86,"Schwarber, Kyle",656941,665871,walk,ball,,,,,14,Kyle Schwarber walks.,R,L,R,PHI,CHC,B,,,3,0,2026,0.37,0.64,1.2708775135498729,1.6820304400768675,,,,0,5,Bot,,,,,,,7.063948220587951,-129.09643778933008,-5.335979358922273,2.7876278063095703,25.527914389891013,-24.106558763508257,3.180511811,1.60511811,,,,89.2,2310,6.5,823481,665804,608348,663538,608324,621020,664023,691718,807713,54.03,,0.709202,0.7,1.0,0.0,0.0,,42,4,Cutter,4,2,4,2,2,4,4,2,Infield shade,Standard,186,0.009,0.171,,,,-0.171,,2,2,0.825,0.825,28,33,29,33,3,2,,,,,2.24,-0.37,0.37,,,,,,
SI,2026-04-13,92.1,-1.74,6.04,"Schwarber, Kyle",656941,665871,,ball,,,,,13,Ball,R,L,R,PHI,CHC,B,,,2,0,2026,-1.2,1.2,-1.037090968460212,1.4262181317418603,,,,0,5,Bot,,,,,,,4.440946893302597,-133.88070161033133,-8.286005667332635,-15.389910694963886,29.03601969802527,-16.132220685209102,3.180511811,1.60511811,,,,92.5,2020,6.6,823481,665804,608348,663538,608324,621020,664023,691718,807713,53.93,,,,,,,,42,3,Sinker,4,2,4,2,2,4,4,2,Infield shade,Standard,204,0.006,0.152,,,,-0.152,,2,2,0.819,0.819,28,33,29,33,3,2,,,,,1.49,1.2,-1.2,,,,,,
FC,2026-04-13,88.2,-1.93,5.95,"Schwarber, Kyle",656941,665871,,ball,,,,,14,Ball,R,L,R,PHI,CHC,B,,,1,0,2026,0.48,0.37,1.600716189405865,1.81522562042006,,,,0,5,Bot,,,,,,,7.469959693671674,-128.19079497654803,-4.51115818819978,3.762302299694026,26.21538688631996,-27.30146360629862,3.180511811,1.60511811,,,,88.5,2310,6.5,823481,665804,608348,663538,608324,621020,664023,691718,807713,53.98,,,,,,,,42,2,Cutter,4,2,4,2,2,4,4,2,Infield shade,Standard,170,0.005,0.077,,,,-0.077,,2,2,0.814,0.814,28,33,29,33,3,2,,,,,2.56,-0.48,0.48,,,,,,
FC,2026-04-13,88.1,-1.99,5.9,"Schwarber, Kyle",656941,665871,,ball,,,,,14,Ball,R,L,R,PHI,CHC,B,,,0,0,2026,0.42,0.71,1.050113946115267,2.095037747843456,,,,0,5,Bot,,,,,,,6.426494991893148,-128.2124874833771,-4.506629286671632,3.4933683779966795,24.08199767391761,-23.599069930880216,3.180511811,1.60511811,,,,89.1,2138,6.7,823481,665804,608348,663538,608324,621020,664023,691718,807713,53.83,,,,,,,,42,1,Cutter,4,2,4,2,2,4,4,2,Infield shade,Standard,187,0.002,0.041,,,,-0.041,,2,2,0.812,0.812,28,33,29,33,3,2,,,,,2.2,-0.42,0.42,,,,,,
FF,2026-04-13,90.9,1.9,5.7,"Schwarber, Kyle",656941,656212,field_out,hit_into_play,,,,,1,Kyle Schwarber pops out to third baseman Alex Bregman.,R,L,L,PHI,CHC,X,5.0,popup,2,2,2026,0.5,1.06,-0.4555110707294432,2.853492921871012,,,624641.0,0,7,Bot,111.91,170.28,,,,,-6.835556708451367,-132.1692390476182,-3.281255522026697,7.330954191705655,29.186727023037893,-19.30096538420695,3.180511811,1.60511811,64.0,92.0,76.0,89.9,1951,5.8,823481,694208,665804,664068,608324,621020,664023,691718,807713,54.68,0.001,0.0,0.0,1.0,0.0,0.0,3.0,68,5,4-Seam Fastball,12,2,12,2,2,12,12,2,Infield shade,Standard,135,0.0,-0.2,,,0.001,0.2,92.0,10,10,0.999,0.999,30,33,31,33,2,4,,,,,1.71,0.5,0.5,,,,,,
SL,2026-04-13,83.8,1.97,5.63,"Schwarber, Kyle",656941,656212,,foul,,,,,14,Foul,R,L,L,PHI,CHC,S,,,2,1,2026,-0.2,-0.06,0.0652514059768185,1.2738796690043022,,,624641.0,0,7,Bot,,,,,,,-3.9017204947913537,-121.95892432441944,-3.283065940535578,-1.211334879155738,24.021110441823307,-32.30273132397246,3.180511811,1.60511811,,,,82.9,2352,5.7,823481,694208,665804,664068,608324,621020,664023,691718,807713,54.82,,,,,,,,68,4,Slider,12,2,12,2,2,12,12,2,Infield shade,Standard,298,0.0,-0.078,78.7,7.8,,0.078,,10,10,0.999,0.999,30,33,31,33,2,4,,,,,3.3,-0.2,-0.2,,19.540780399329016,-17.532961097097292,36.98372892250773,33.538679900136856,39.97158914015855
FF,2026-04-13,90.1,1.86,5.65,"Schwarber, Kyle",656941,656212,,ball,,,,,11,Ball,R,L,L,PHI,CHC,B,,,1,1,2026,0.7,1.05,-0.9924978824513412,2.985206727447796,,,624641.0,0,7,Bot,,,,,,,-8.410883040428772,-131.04015683459795,-2.72653335023103,9.8397008806781,26.425620459041667,-19.67563213831223,3.180511811,1.60511811,,,,89.4,2202,5.8,823481,694208,665804,664068,608324,621020,664023,691718,807713,54.73,,,,,,,,68,3,4-Seam Fastball,12,2,12,2,2,12,12,2,Infield shade,Standard,134,0.0,0.044,,,,-0.044,,10,10,0.999,0.999,30,33,31,33,2,4,,,,,1.75,0.7,0.7,,,,,,
SI,2026-04-13,93.3,-1.68,6.03,"Schwarber, Kyle",656941,665871,home_run,hit_into_play,,,,,5,Kyle Schwarber homers (6) on a fly ball to center field. Trea Turner scores.,R,L,R,PHI,CHC,X,,fly_ball,0,0,2026,-1.1,0.83,0.2426986129809525,2.3324468935009857,,,607208.0,0,3,Bot,170.56,36.08,,,,,7.356759483599866,-135.653886474478,-5.414765820368053,-15.188655608517324,28.225647338820565,-20.945879248061846,3.180511811,1.60511811,417.0,101.4,25.0,93.8,1892,6.5,823481,665804,608348,663538,608324,621020,664023,691718,807713,53.99,0.58,0.972,2.0,1.0,0.0,3.0,6.0,24,1,Sinker,2,0,2,0,0,4,4,0,Infield shade,Standard,210,0.105,1.059,76.2,6.9,1.775,-1.059,101.4,2,2,0.789,0.789,28,33,29,33,2,1,,,,,1.78,1.1,-1.1,,8.959700479121304,-4.7643552062414685,28.38768059128096,31.264549455688535,32.67419464054521
SL,2026-04-13,84.4,1.89,5.68,"Schwarber, Kyle",656941,656212,,ball,,,,,13,Ball,R,L,L,PHI,CHC,B,,,0,1,2026,-0.16,-0.14,-1.2724462272841257,1.230189120620246,,,624641.0,0,7,Bot,,,,,,,-6.839901679038472,-122.77268028370598,-3.4693309437159314,-0.3500171161530848,23.315489174456737,-33.07811189304172,3.180511811,1.60511811,,,,83.6,2380,5.7,823481,694208,665804,664068,608324,621020,664023,691718,807713,54.84,,,,,,,,68,2,Slider,12,2,12,2,2,12,12,2,Infield shade,Standard,299,0.0,0.034,,,,-0.034,,10,10,0.999,0.999,30,33,31,33,2,4,,,,,3.33,-0.16,-0.16,,,,,,
ST,2026-04-13,82.1,1.81,5.73,"Schwarber, Kyle",656941,656212,,called_strike,,,,,1,Called Strike,R,L,L,PHI,CHC,S,,,0,0,2026,-0.92,0.15,-0.3419597167474176,2.912913235903952,,,624641.0,0,7,Bot,,,,,,,-2.9649221974872866,-119.53961038354684,0.0288122616698423,-8.295802938158756,22.32986174673022,-30.974701106421215,3.180511811,1.60511811,,,,81.3,2474,5.7,823481,694208,665804,664068,608324,621020,664023,691718,807713,54.84,,,,,,,,68,1,Sweeper,12,2,12,2,2,12,12,2,Infield shade,Standard,299,0.0,-0.043,,,,0.043,,10,10,0.999,0.999,30,33,31,33,2,4,,,,,3.22,-0.92,-0.92,,,,,,
