pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
SL,2026-04-13,85.3,2.41,5.94,"Ohtani, Shohei",660271,656849,field_out,hit_into_play,,,,,9.0,"Shohei Ohtani grounds out, first baseman Mark Vientos to pitcher David Peterson. Miguel Rojas to 3rd.",R,L,L,LAD,NYM,X,3.0,ground_ball,0,1,2026,-0.24,0.1,0.7420051857517913,2.207743071129096,,500743.0,,1,4,Bot,156.96,161.1,,,,,-3.4092931134868785,-124.18842156753104,-2.510100354278753,-1.849226751706132,23.85350428572169,-30.885561982487623,3.369201116,1.700344488,51.0,95.9,1.0,86.5,2344.0,7.0,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.55,0.449,0.443,0.0,1.0,0.0,0.0,4.0,31,2,Slider,4,0,4,0,0,4,4,0,Standard,Standard,179.0,-0.008,-0.221,74.8,7.7,0.547,0.221,95.9,4,4,0.917,0.917,30,31,31,32,3,2,,,,,3.02,-0.24,-0.24,,11.333180367112467,-4.106518675684161,40.565524883351614,31.808185706509,26.93658433461229
SL,2026-04-13,84.2,2.41,5.87,"Ohtani, Shohei",660271,656849,,swinging_strike,,,,,13.0,Swinging Strike,R,L,L,LAD,NYM,S,,,0,0,2026,-0.32,0.07,-0.5688511693022946,1.486690819282658,,500743.0,,1,4,Bot,,,,,,,-6.281182561792327,-122.54917078909244,-3.754487458888281,-1.9971767907712203,23.70184799747467,-30.90446170581311,3.369201116,1.700344488,,,,85.6,2325.0,7.2,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.35,,,,,,,,31,1,Slider,4,0,4,0,0,4,4,0,Standard,Standard,222.0,-0.002,-0.038,70.9,8.6,,0.038,,4,4,0.919,0.919,30,31,31,32,3,2,,,,,3.13,-0.32,-0.32,,20.586520174832746,-13.356307272072629,39.00525586211511,47.22608081148976,34.56609117812052
SL,2026-04-13,89.9,-2.14,5.3,"Ohtani, Shohei",660271,680702,field_out,hit_into_play,,,,,2.0,Shohei Ohtani flies out to right fielder Tyrone Taylor.,R,L,R,LAD,NYM,X,9.0,fly_ball,1,2,2026,0.35,0.81,0.1410642731965695,3.130367419255625,,,500743.0,2,8,Bot,178.75,87.03,,,,,4.81853884780748,-130.8794811356089,-1.0239938006859768,3.0747806951914907,26.1321235877492,-22.7650687531787,3.369201116,1.700344488,307.0,97.2,46.0,90.2,2309.0,6.3,823964,682626,668901,543760,666182,596019,502054,673357,621438,54.18,0.003,0.003,0.0,1.0,0.0,0.0,3.0,62,4,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,178.0,-0.001,-0.182,74.8,8.0,0.003,0.182,97.2,4,4,0.986,0.986,29,31,29,32,1,4,,,,,1.99,-0.35,0.35,,17.56741221180742,-8.649403853237027,29.4107351148202,38.526356331461706,29.838958232314862
SL,2026-04-13,83.5,-2.07,5.27,"Ohtani, Shohei",660271,680702,,foul,,,,,2.0,Foul,R,L,R,LAD,NYM,S,,,1,1,2026,0.45,0.17,-0.0954723784850467,3.1521080682796496,,,500743.0,2,8,Bot,,,,,,,3.578091651609493,-121.71920742832032,1.3187199559976306,3.916265047816868,21.61281321015995,-30.87592768251234,3.369201116,1.700344488,167.0,77.2,70.0,84.1,2260.0,6.4,823964,682626,668901,543760,666182,596019,502054,673357,621438,54.13,,,,,,,,62,3,Slider,4,0,4,0,0,4,4,0,Infield shade,Standard,129.0,0.0,-0.073,72.9,7.8,,0.073,88.0,4,4,0.986,0.986,29,31,29,32,1,4,,,,,3.06,-0.45,0.45,,12.388097479669376,-2.550201316182524,32.59718456881449,41.38974464983838,23.80439659517691
FF,2026-04-13,94.1,-2.18,5.18,"Ohtani, Shohei",660271,680702,,ball,,,,,11.0,Ball,R,L,R,LAD,NYM,B,,,0,1,2026,-0.87,1.31,-2.256578043348749,3.5809863034544698,,,500743.0,2,8,Bot,,,,,,,1.7829301937319575,-137.14191073135305,-1.2783890322019087,-11.338283875320409,29.86603619938147,-15.513113335580195,3.369201116,1.700344488,,,,94.8,2196.0,6.6,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.92,,,,,,,,62,2,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,222.0,0.0,0.027,,,,-0.027,,4,4,0.986,0.986,29,31,29,32,1,4,,,,,1.25,0.87,-0.87,,,,,,
FF,2026-04-13,94.1,-1.95,5.28,"Ohtani, Shohei",660271,680702,,foul_tip,,,,,11.0,Foul Tip,R,L,R,LAD,NYM,S,,,0,0,2026,-0.75,1.49,-0.0273682677881164,3.798769096553285,,,500743.0,2,8,Bot,,,,,,,6.625919258975189,-136.90662548210048,-1.3523937172342118,-10.82682567344768,29.87264822398706,-13.354183505500634,3.369201116,1.700344488,,,,94.5,2360.0,6.5,823964,682626,668901,543760,666182,596019,502054,673357,621438,54.0,,,,,,,,62,1,4-Seam Fastball,4,0,4,0,0,4,4,0,Infield shade,Standard,209.0,0.0,-0.042,77.9,7.7,,0.042,,4,4,0.986,0.986,29,31,29,32,1,4,,,,,1.08,0.75,-0.75,,15.8490700297429,-2.8888789002051234,26.710937326461732,39.78521593167842,20.58947454879749
SL,2026-04-13,84.5,2.17,6.01,"Ohtani, Shohei",660271,656849,strikeout,swinging_strike,,,,,14.0,Shohei Ohtani strikes out swinging.,R,L,L,LAD,NYM,S,2.0,,1,2,2026,-0.22,-0.07,0.2127943058451068,0.7722546372757413,,,,2,2,Bot,,,,,,,-4.111394062867954,-123.09083868209984,-5.554715835865572,-1.461292208543044,22.626500277588303,-32.06921350573111,3.369201116,1.700344488,,,,86.1,2213.0,7.1,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.43,,0.0,0.0,1.0,0.0,0.0,,16,5,Slider,1,0,1,0,0,1,1,0,Strategic,Standard,268.0,-0.006,-0.182,67.3,9.0,,0.182,,1,1,0.618,0.618,30,31,31,32,2,1,,,,,3.24,-0.22,-0.22,,24.054988531965638,-19.31209707922256,46.222015522046085,38.48295045674932,37.31273965982752
FF,2026-04-13,92.5,1.87,6.03,"Ohtani, Shohei",660271,656849,,foul,,,,,11.0,Foul,R,L,L,LAD,NYM,S,,,1,2,2026,-0.1,0.78,-1.2648644702417404,2.537978503840492,,,,2,2,Bot,,,,,,,-7.805835144443847,-134.54621809217636,-4.730503284415747,0.3198223450477063,26.596356097221843,-21.90227957797805,3.369201116,1.700344488,205.0,68.8,43.0,94.4,2074.0,7.2,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.29,,,,,,,,16,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Strategic,Standard,154.0,0.0,0.0,57.5,7.7,,0.0,88.0,1,1,0.618,0.618,30,31,31,32,2,1,,,,,1.87,-0.1,-0.1,,4.186401707898082,13.925192508441071,27.516337502373613,57.22783227536896,9.66504765175508
SL,2026-04-13,86.7,1.89,6.04,"Ohtani, Shohei",660271,656849,,called_strike,,,,,7.0,Called Strike,R,L,L,LAD,NYM,S,,,1,1,2026,-0.34,0.26,-0.6795577567169084,1.6366083904626405,,,,2,2,Bot,,,,,,,-5.436923743070639,-126.15517183845922,-4.726793590676164,-2.689118771243168,23.38284140663673,-28.6950047191172,3.369201116,1.700344488,,,,88.4,2284.0,7.1,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.36,,,,,,,,16,3,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,196.0,-0.003,-0.062,,,,0.062,,1,1,0.621,0.621,30,31,31,32,2,1,,,,,2.75,-0.34,-0.34,,,,,,
SI,2026-04-13,91.1,1.96,6.25,"Ohtani, Shohei",660271,656849,,swinging_strike,,,,,6.0,Swinging Strike,R,L,L,LAD,NYM,S,,,1,0,2026,1.45,0.44,0.5692671500379498,2.352717115700651,,,,2,2,Bot,,,,,,,-6.723604814952578,-132.49688741170243,-4.665643635245188,18.568676156272694,28.81164016848181,-26.16691362764906,3.369201116,1.700344488,,,,92.1,2151.0,7.0,823964,682626,668901,543760,666182,596019,502054,673357,621438,53.52,,,,,,,,16,2,Sinker,1,0,1,0,0,1,1,0,Strategic,Standard,148.0,-0.001,-0.054,79.7,8.2,,0.054,,1,1,0.622,0.622,30,31,31,32,2,1,,,,,2.31,1.45,1.45,,21.47143869503402,-7.954594478680824,37.68541988314154,33.88383765051317,32.60428149434174
