pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-04-12,93.1,-2.4,5.53,"Soriano, José",682622,667755,force_out,hit_into_play,,,,,14,"Noelvi Marte grounds into a force out, shortstop Zach Neto to second baseman Vaughn Grissom. Nathaniel Lowe out at 2nd.",R,R,R,CIN,LAA,X,6.0,ground_ball,1,2,2026,-0.58,-0.08,0.6688420099471827,1.3113831425123834,,,663993.0,2,7,Bot,112.93,152.41,,,,,9.175080291485823,-135.3257973441622,-4.736538327967791,-8.956696472802875,25.880555868047463,-32.37318467095089,3.298113517,1.664468504,12.0,91.5,-6.0,94.6,1624,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.57,0.222,0.2,0.0,1.0,0.0,0.0,2.0,62,6,Split-Finger,0,8,0,8,8,0,0,8,Standard,Standard,244,-0.001,-0.183,69.4,7.8,0.256,0.183,91.5,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,2.69,0.58,0.58,31.0,6.48633102637508,-7.266017467106098,35.79311176196021,43.05286386562894,35.59268947953415
FF,2026-04-12,97.6,-2.34,5.55,"Soriano, José",682622,667755,,foul,,,,,2,Foul,R,R,R,CIN,LAA,S,,,1,2,2026,-0.66,0.94,-0.1266294712939016,3.0213478747632205,,,663993.0,2,7,Bot,,,,,,,7.503108924044223,-141.9230145494836,-3.3410353352434656,-10.630559481832776,32.70043516871647,-18.877775648198934,3.298113517,1.664468504,91.0,72.8,75.0,98.5,2286,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.65,,,,,,,,62,5,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,245,0.0,0.0,69.3,6.7,,0.0,88.0,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,1.46,0.66,0.66,27.4,6.670387960853793,2.813643374967764,31.05115086878124,34.098434020374114,31.33526999510167
KC,2026-04-12,86.5,-2.06,5.8,"Soriano, José",682622,667755,,foul,,,,,4,Foul,R,R,R,CIN,LAA,S,,,1,2,2026,0.82,-0.43,-0.4364743516591193,2.3546049068634094,,,663993.0,2,7,Bot,,,,,,,2.131259660374872,-125.987491115776,-0.9232348475748352,8.381047195120777,24.89764555075641,-36.81419514221804,3.298113517,1.664468504,35.0,99.8,-2.0,87.8,2390,7.0,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.53,,,,,,,,62,4,Knuckle Curve,0,8,0,8,8,0,0,8,Standard,Standard,33,0.0,0.0,71.8,7.2,,0.0,99.8,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,3.47,-0.82,-0.82,39.0,12.456546703189446,-14.996109261238958,31.016469695279323,30.86159882671156,42.85871490071139
KC,2026-04-12,88.2,-1.99,5.71,"Soriano, José",682622,667755,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,CIN,LAA,B,,,0,2,2026,1.14,-0.45,2.4386336260978814,0.7017617335114128,,,663993.0,2,7,Bot,,,,,,,8.302362721789331,-128.21033692873985,-4.908217802391234,10.878298614712843,26.47714834431778,-36.3012311476137,3.298113517,1.664468504,,,,89.1,2557,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.6,,,,,,,,62,3,Knuckle Curve,0,8,0,8,8,0,0,8,Standard,Standard,27,0.0,0.009,,,,-0.009,,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,3.39,-1.14,-1.14,38.2,,,,,
SI,2026-04-12,97.3,-2.53,5.4,"Soriano, José",682622,667755,,foul_tip,,,,,8,Foul Tip,R,R,R,CIN,LAA,S,,,0,1,2026,-1.11,0.03,0.1013904041373494,1.5796999369286944,,,663993.0,2,7,Bot,,,,,,,9.69028349139735,-141.36387543594455,-4.583796989114695,-17.152912075705956,32.10839082670138,-30.932291826703384,3.298113517,1.664468504,,,,98.4,2009,7.0,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.53,,,,,,,,62,2,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,235,0.0,-0.055,72.1,6.9,,0.055,,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,2.39,1.11,1.11,26.7,-6.967256328108514,10.425280348133038,38.41505154417223,38.11209263221807,20.733482518553483
SI,2026-04-12,96.2,-2.47,5.34,"Soriano, José",682622,667755,,called_strike,,,,,14,Called Strike,R,R,R,CIN,LAA,S,,,0,0,2026,-0.95,-0.07,0.5886998721129458,1.5029676598440993,,,663993.0,2,7,Bot,,,,,,,10.311252631026456,-139.85913171893858,-4.285292953990193,-14.675203378833055,28.830465998669453,-32.384942820608146,3.298113517,1.664468504,,,,97.6,1976,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.59,,,,,,,,62,1,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,240,0.0,-0.042,,,,0.042,,-8,-8,0.003,0.003,27,24,28,25,3,2,6,1,,,2.52,0.95,0.95,26.0,,,,,
KC,2026-04-12,86.6,-2.14,5.76,"Soriano, José",668715,667755,strikeout,swinging_strike,,,,,9,Spencer Steer strikes out swinging.,R,R,R,CIN,LAA,S,2.0,,1,2,2026,0.85,-0.28,0.8081684243101894,1.718039225305215,,,663993.0,1,7,Bot,,,,,,,5.245840056858147,-126.15080799306118,-2.7749907943259844,8.271549412006385,21.46700804604657,-34.85113775279004,3.096259843,1.562598425,,,,88.2,2491,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.62,,0.0,0.0,1.0,0.0,0.0,,61,4,Knuckle Curve,0,8,0,8,8,0,0,8,Standard,Standard,31,-0.001,-0.178,64.7,8.3,,0.178,,-8,-8,0.004,0.004,27,28,28,29,3,2,6,1,,,3.27,-0.85,-0.85,35.3,24.333394394847627,-25.955695632008272,28.53927498674945,42.93828427938607,42.56550753461025
FF,2026-04-12,97.1,-2.39,5.45,"Soriano, José",668715,667755,,foul,,,,,14,Foul,R,R,R,CIN,LAA,S,,,1,1,2026,-0.69,0.87,0.9047931809533548,1.871029524459762,,,663993.0,1,7,Bot,,,,,,,10.399697480080489,-140.98089219479786,-5.922896055732262,-11.498903235906075,29.838717579294464,-19.35228232431898,3.096259843,1.562598425,,,,98.2,2268,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.64,,,,,,,,61,3,4-Seam Fastball,0,8,0,8,8,0,0,8,Standard,Standard,237,-0.001,-0.056,66.5,7.3,,0.056,,-8,-8,0.005,0.005,27,28,28,29,3,2,6,1,,,1.54,0.69,0.69,26.6,2.9628387076684706,17.901824849884868,31.421909457040385,46.245042122058486,16.89348440883114
SI,2026-04-12,95.7,-2.53,5.33,"Soriano, José",668715,667755,,blocked_ball,,,,,14,Ball In Dirt,R,R,R,CIN,LAA,B,,,0,1,2026,-1.18,-0.02,1.0114454121158594,-0.468513126679865,,,663993.0,1,7,Bot,,,,,,,11.99859017085834,-138.5485685272228,-9.296069498472791,-17.97831456678483,34.15046348027339,-30.168246010258947,3.096259843,1.562598425,,,,95.9,2067,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.6,,,,,,,,61,2,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,238,0.0,0.019,,,,-0.019,,-8,-8,0.005,0.005,27,28,28,29,3,2,6,1,,,2.55,1.18,1.18,28.6,,,,,
SI,2026-04-12,95.7,-2.54,5.45,"Soriano, José",668715,667755,,swinging_strike,,,,,13,Swinging Strike,R,R,R,CIN,LAA,S,,,0,0,2026,-0.92,-0.04,-0.2156596440764245,1.1291284379077355,,,663993.0,1,7,Bot,,,,,,,8.237886157886477,-139.03492178974275,-5.471225957242541,-13.73615930291386,30.99760963025366,-31.676577621376385,3.096259843,1.562598425,,,,96.7,1929,6.9,824533,681351,694384,687093,672724,687263,669326,545361,666176,53.59,,,,,,,,61,1,Sinker,0,8,0,8,8,0,0,8,Standard,Standard,236,0.0,-0.04,74.0,7.8,,0.04,,-8,-8,0.005,0.005,27,28,28,29,3,2,6,1,,,2.54,0.92,0.92,27.3,12.897514501517486,-8.73959451329492,36.92966148261371,32.66364884369234,32.17546364452362
