pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FS,2026-04-07,89.3,-1.57,5.45,"Yamamoto, Yoshinobu",676391,808967,single,hit_into_play,,,,,1,Ernie Clement singles on a bunt ground ball to third baseman Max Muncy. Kazuma Okamoto to 3rd.,R,R,R,TOR,LAD,X,5.0,ground_ball,0,1,2026,-0.46,0.29,-0.6315900824810752,3.242711656766762,,672960.0,,0,7,Bot,116.55,188.99,,,,,3.2959822706102737,-130.00124167198618,0.1717642367188898,-5.970331274465106,28.94524850697585,-29.12143069924105,3.191043307,1.610433071,3.0,29.5,-43.0,89.5,1487,6.5,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.96,0.296,0.266,0.9,1.0,1.0,0.0,1.0,54,2,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,231,0.121,-0.004,,,0.297,0.004,88.0,-2,-2,0.312,0.312,27,30,28,30,3,2,6,1,,1,2.58,0.46,0.46,37.4,,,,,
SI,2026-04-07,95.0,-1.4,5.42,"Yamamoto, Yoshinobu",676391,808967,,called_strike,,,,,8,Called Strike,R,R,R,TOR,LAD,S,,,0,0,2026,-1.24,1.15,-0.0841076283839308,1.9185833446700895,,672960.0,,0,7,Bot,,,,,,,6.26303224181028,-138.00757087287028,-5.896595359144325,-17.210054372784665,33.48224375304195,-16.331558024117207,3.191043307,1.610433071,,,,95.2,2239,6.7,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.82,,,,,,,,54,1,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,208,-0.011,-0.043,,,,0.043,,-2,-2,0.323,0.323,27,30,28,30,3,2,6,1,,1,1.4,1.24,1.24,42.2,,,,,
FF,2026-04-07,96.2,-1.57,5.28,"Yamamoto, Yoshinobu",672960,808967,double,hit_into_play,,,,,6,Kazuma Okamoto doubles (1) on a sharp line drive to center fielder Andy Pages.,R,R,R,TOR,LAD,X,8.0,line_drive,3,2,2026,-0.57,1.48,0.5060118459984995,2.2442123701947727,,,,0,7,Bot,161.58,51.59,,,,,6.806114883013353,-139.87675889649563,-5.674088821501693,-9.080101074736394,34.179355049829375,-11.705504529410382,3.255987533,1.643208661,374.0,106.1,21.0,96.5,2229,6.7,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.8,0.837,1.271,1.25,1.0,1.0,1.0,6.0,53,7,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,213,0.092,0.631,71.3,7.7,2.213,-0.631,106.1,-2,-2,0.231,0.231,27,30,28,30,3,2,6,1,,1,1.01,0.57,0.57,38.9,9.405364406699388,6.630543694363498,25.94350244550444,43.205311977290165,22.13124179087979
CU,2026-04-07,77.3,-1.34,5.47,"Yamamoto, Yoshinobu",672960,808967,,foul,,,,,5,Foul,R,R,R,TOR,LAD,S,,,3,2,2026,1.41,-1.24,0.0818523566820488,2.227334535101149,,,,0,7,Bot,,,,,,,0.3590925619023518,-112.4048254373618,2.676062469072288,11.758986888609732,23.286622527340555,-43.34757854748875,3.255987533,1.643208661,96.0,74.4,76.0,77.3,2707,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.87,,,,,,,,53,6,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,38,0.0,0.0,71.3,8.0,,0.0,88.0,-2,-2,0.231,0.231,27,30,28,30,3,2,6,1,,1,5.1,-1.41,-1.41,46.8,28.01359776986236,-35.532159168086054,23.82589243334381,36.13107960439267,46.08018825673344
SI,2026-04-07,96.2,-1.7,5.25,"Yamamoto, Yoshinobu",672960,808967,,ball,,,,,14,Ball,R,R,R,TOR,LAD,B,,,2,2,2026,-1.26,1.18,0.2555649930741568,0.8344318421761461,,,,0,7,Bot,,,,,,,8.050171210624777,-139.69010978509877,-8.6131547367781,-18.32950863521656,31.775324816584988,-14.923647591366462,3.255987533,1.643208661,,,,96.4,2396,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.93,,,,,,,,53,5,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,214,0.016,0.112,,,,-0.112,,-2,-2,0.215,0.215,27,30,28,30,3,2,6,1,,1,1.3,1.26,1.26,38.7,,,,,
SL,2026-04-07,87.7,-1.44,5.38,"Yamamoto, Yoshinobu",672960,808967,,ball,,,,,14,Ball,R,R,R,TOR,LAD,B,,,1,2,2026,0.45,0.39,0.9635049386667092,1.764453952687429,,,,0,7,Bot,,,,,,,4.814829006109583,-127.71681208076062,-3.2751824867017283,4.024981061983664,23.994696497499405,-27.48540998859098,3.255987533,1.643208661,,,,88.5,2849,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.93,,,,,,,,53,4,Slider,1,3,1,3,3,1,1,3,Standard,Standard,103,0.006,0.043,,,,-0.043,,-2,-2,0.209,0.209,27,30,28,30,3,2,6,1,,1,2.55,-0.45,-0.45,42.5,,,,,
FC,2026-04-07,91.0,-1.61,5.36,"Yamamoto, Yoshinobu",672960,808967,,called_strike,,,,,4,Called Strike,R,R,R,TOR,LAD,S,,,1,1,2026,0.25,0.74,-0.3595947305381346,2.6208433078350697,,,,0,7,Bot,,,,,,,2.562979517636223,-132.61743120521442,-2.442464757813682,2.3627369878516227,27.709213536468702,-23.094655039098743,3.255987533,1.643208661,,,,91.6,2343,6.5,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.97,,,,,,,,53,3,Cutter,1,3,1,3,3,1,1,3,Standard,Standard,184,-0.01,-0.061,,,,0.061,,-2,-2,0.219,0.219,27,30,28,30,3,2,6,1,,1,2.0,-0.25,-0.25,38.5,,,,,
FS,2026-04-07,91.2,-1.54,5.35,"Yamamoto, Yoshinobu",672960,808967,,swinging_strike,,,,,7,Swinging Strike,R,R,R,TOR,LAD,S,,,1,0,2026,-1.56,0.28,-0.5775483759691229,1.813963867720544,,,,0,7,Bot,,,,,,,5.865324358216272,-132.69574868747864,-3.416263308653711,-19.708765128743867,28.415994193769528,-28.36724209432259,3.255987533,1.643208661,,,,91.9,1520,6.7,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.78,,,,,,,,53,2,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,235,-0.009,-0.05,78.7,8.2,,0.05,,-2,-2,0.228,0.228,27,30,28,30,3,2,6,1,,1,2.46,1.56,1.56,40.3,18.156753045728298,-17.80749397322109,31.43770593335206,30.484292514960163,28.47058777696391
CU,2026-04-07,76.1,-1.31,5.6,"Yamamoto, Yoshinobu",672960,808967,,ball,,,,,1,Ball,R,R,R,TOR,LAD,B,,,0,0,2026,1.09,-1.4,-0.6834003816510343,3.1237236477465364,,,,0,7,Bot,,,,,,,-0.6838287065425703,-110.60835754733095,4.705735286429455,8.995005373987857,21.74897116667548,-44.70671413037569,3.255987533,1.643208661,,,,76.0,2637,6.5,822831,669257,518692,690976,571970,808975,606192,681624,663656,54.0,,,,,,,,53,1,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,36,0.007,0.041,,,,-0.041,,-2,-2,0.221,0.221,27,30,28,30,3,2,6,1,,1,5.37,-1.09,-1.09,48.8,,,,,
SI,2026-04-07,95.2,-1.68,5.36,"Yamamoto, Yoshinobu",660821,808967,field_out,hit_into_play,,,,,9,"Jesús Sánchez grounds out, second baseman Alex Freeland to first baseman Freddie Freeman.",R,L,R,TOR,LAD,X,4.0,ground_ball,1,1,2026,-0.8,1.22,0.6960868427476496,2.13406675116004,,662139.0,665489.0,2,6,Bot,150.66,157.7,,,,,7.979331386999194,-138.31802638998306,-5.387298252265359,-12.013078666331804,31.659815963354028,-15.454737080587178,3.334973753,1.683070866,17.0,93.1,-6.0,95.2,2274,6.4,822831,669257,518692,690976,571970,808975,606192,681624,663656,54.07,0.184,0.169,0.0,1.0,0.0,0.0,2.0,48,3,Sinker,1,3,1,3,3,1,1,3,Standard,Standard,216,-0.066,-0.253,,,0.211,0.253,93.1,-2,-2,0.251,0.251,27,28,28,29,3,2,6,1,,1,1.31,0.8,-0.8,41.2,,,,,
FS,2026-04-07,91.4,-1.66,5.42,"Yamamoto, Yoshinobu",660821,808967,,foul,,,,,9,Foul,R,L,R,TOR,LAD,S,,,1,0,2026,-0.9,0.16,0.3896679148768599,1.6716167406553009,,662139.0,665489.0,2,6,Bot,,,,,,,7.108247396780725,-132.89945656806108,-3.678859938026595,-12.175351649859332,29.38530887134131,-29.68062219407493,3.334973753,1.683070866,,,,91.8,1557,6.6,822831,669257,518692,690976,571970,808975,606192,681624,663656,53.87,,,,,,,,48,2,Split-Finger,1,3,1,3,3,1,1,3,Standard,Standard,235,-0.008,-0.052,82.7,8.0,,0.052,,-2,-2,0.259,0.259,27,28,28,29,3,2,6,1,,1,2.58,0.9,-0.9,41.4,20.660898043420463,-27.62625722706204,33.80385568237913,33.69620774517061,48.273082188571735
